date, facebook, instagram, twitter
2018-04-15,100,17,9
2018-04-22,99,17,10
2018-04-29,100,16,9
2018-05-06,98,17,9
2018-05-13,98,16,9
2018-05-20,93,17,9
2018-05-27,97,18,10
2018-06-03,95,17,9
2018-06-10,93,18,9
2018-06-17,94,17,10
2018-06-24,89,17,10
2018-07-01,90,18,9
2018-07-08,92,19,10
2018-07-15,90,18,9
2018-07-22,91,18,10
2018-07-29,90,18,9
2018-08-05,87,18,9
2018-08-12,86,18,9
2018-08-19,89,18,10
2018-08-26,85,18,10
2018-09-02,87,17,10
2018-09-09,88,17,10
2018-09-16,82,16,9
2018-09-23,80,18,9
2018-09-30,81,17,9
2018-10-07,83,18,9
2018-10-14,78,18,9
2018-10-21,79,17,9
2018-10-28,81,17,10
2018-11-04,77,17,9
2018-11-11,79,18,10
2018-11-18,77,17,9
2018-11-25,73,18,9
2018-12-02,80,17,10
2018-12-09,73,18,10
2018-12-16,76,18,10
2018-12-23,80,19,10
2018-12-30,80,21,10
2019-01-06,76,19,10
2019-01-13,75,19,10
2019-01-20,73,18,10
2019-01-27,74,18,9
2019-02-03,72,17,9
2019-02-10,75,18,9
2019-02-17,72,18,9
2019-02-24,70,17,9
2019-03-03,72,18,9
2019-03-10,72,20,9
2019-03-17,72,18,9
2019-03-24,71,17,9
2019-03-31,69,17,10
2019-04-07,68,18,10
2019-04-14,72,19,10
2019-04-21,68,18,10
2019-04-28,68,19,10
2019-05-05,70,19,9
2019-05-12,69,19,10
2019-05-19,72,20,10
2019-05-26,76,20,10
2019-06-02,70,21,10
2019-06-09,70,21,11
2019-06-16,70,22,11
2019-06-23,69,21,11
2019-06-30,68,23,10
2019-07-07,69,21,11
2019-07-14,68,21,10
2019-07-21,70,22,11
2019-07-28,69,22,10
2019-08-04,69,21,10
2019-08-11,67,22,10
2019-08-18,68,22,11
2019-08-25,66,22,11
2019-09-01,62,21,11
2019-09-08,61,21,10
2019-09-15,63,21,10
2019-09-22,62,20,11
2019-09-29,63,20,10
2019-10-06,63,22,10
2019-10-13,63,20,11
2019-10-20,63,20,11
2019-10-27,63,21,10
2019-11-03,60,20,10
2019-11-10,60,20,11
2019-11-17,60,19,11
2019-11-24,61,19,10
2019-12-01,60,20,11
2019-12-08,60,19,11
2019-12-15,63,19,11
2019-12-22,62,22,11
2019-12-29,64,24,12
2020-01-05,60,21,12
2020-01-12,58,20,11
2020-01-19,57,20,11
2020-01-26,59,21,12
2020-02-02,60,20,12
2020-02-09,60,20,11
2020-02-16,59,20,11
2020-02-23,56,20,12
2020-03-01,61,20,12
2020-03-08,56,19,13
2020-03-15,63,21,14
2020-03-22,65,22,14
2020-03-29,64,22,13
2020-04-05,64,24,13
2020-04-12,62,23,13
2020-04-19,58,23,12
2020-04-26,59,22,12
2020-05-03,58,24,12
2020-05-10,60,22,12
2020-05-17,60,23,12
2020-05-24,57,23,14
2020-05-31,59,23,14
2020-06-07,58,22,12
2020-06-14,58,22,13
2020-06-21,60,22,13
2020-06-28,59,23,13
2020-07-05,58,23,14
